户号,日期,时间,预测量,,
A1,2018/8/1,0:00,9905.272634,,
A1,2018/8/2,0:00,9911.715267,,
A1,2018/8/3,0:00,9918.161685,,
A1,2018/8/4,0:00,9924.610796,,
A1,2018/8/5,0:00,9931.059465,,
A1,2018/8/6,0:00,9937.506907,,
A1,2018/8/7,0:00,9943.954694,,
A1,2018/8/8,0:00,9950.404445,,
A1,2018/8/9,0:00,9956.850395,,
A1,2018/8/10,0:00,9963.293401,,
A1,2018/8/11,0:00,9969.741874,,
A1,2018/8/12,0:00,9976.191156,,
A1,2018/8/13,0:00,9982.634415,,
A1,2018/8/14,0:00,9989.081462,,
A1,2018/8/15,0:00,9995.528488,,
A1,2018/8/16,0:00,10001.97362,,
A1,2018/8/17,0:00,10008.42069,,
A1,2018/8/18,0:00,10014.86554,,
A1,2018/8/19,0:00,10021.3138,,
A1,2018/8/20,0:00,10027.76401,,
A1,2018/8/21,0:00,10034.20744,,
A1,2018/8/22,0:00,10040.65377,,
A1,2018/8/23,0:00,10047.10046,,
A1,2018/8/24,0:00,10053.54989,,
A1,2018/8/25,0:00,10059.99969,,
A1,2018/8/26,0:00,10066.44633,,
A1,2018/8/27,0:00,10072.88821,,
A1,2018/8/28,0:00,10079.3359,,
A1,2018/8/29,0:00,10085.78602,,
A1,2018/8/30,0:00,10092.23053,,
A1,2018/8/31,0:00,10098.67382,,
A1,2018/9/1,0:00,10105.1164,,
A1,2018/9/2,0:00,10111.5616,,
A1,2018/9/3,0:00,10118.0086,,
A1,2018/9/4,0:00,10124.45286,,
A1,2018/9/5,0:00,10130.90218,,
A1,2018/9/6,0:00,10137.35155,,
A1,2018/9/7,0:00,10143.79882,,
A1,2018/9/8,0:00,10150.24057,,
A1,2018/9/9,0:00,10156.68025,,
A1,2018/9/10,0:00,10163.12557,,
A1,2018/9/11,0:00,10169.56783,,
A1,2018/9/12,0:00,10176.00873,,
A1,2018/9/13,0:00,10182.44979,,
A1,2018/9/14,0:00,10188.89179,,
A1,2018/9/15,0:00,10195.33625,,
A1,2018/9/16,0:00,10201.78043,,
A1,2018/9/17,0:00,10208.2236,,
A1,2018/9/18,0:00,10214.66476,,
A1,2018/9/19,0:00,10221.10907,,
A1,2018/9/20,0:00,10227.55508,,
A1,2018/9/21,0:00,10233.9983,,
A1,2018/9/22,0:00,10240.43929,,
A1,2018/9/23,0:00,10246.88082,,
A1,2018/9/24,0:00,10253.3229,,
A1,2018/9/25,0:00,10259.7694,,
A1,2018/9/26,0:00,10266.21501,,
A1,2018/9/27,0:00,10272.65769,,
A1,2018/9/28,0:00,10279.09834,,
A1,2018/9/29,0:00,10285.54342,,
A1,2018/9/30,0:00,10291.99008,,
A2,2018/8/1,0:00,10285.7301,,
A2,2018/8/2,0:00,10294.26019,,
A2,2018/8/3,0:00,10302.82118,,
A2,2018/8/4,0:00,10311.3942,,
A2,2018/8/5,0:00,10319.96455,,
A2,2018/8/6,0:00,10328.53012,,
A2,2018/8/7,0:00,10337.09681,,
A2,2018/8/8,0:00,10345.672,,
A2,2018/8/9,0:00,10354.22509,,
A2,2018/8/10,0:00,10362.76373,,
A2,2018/8/11,0:00,10371.33772,,
A2,2018/8/12,0:00,10379.91316,,
A2,2018/8/13,0:00,10388.44601,,
A2,2018/8/14,0:00,10397.01191,,
A2,2018/8/15,0:00,10405.57677,,
A2,2018/8/16,0:00,10414.13129,,
A2,2018/8/17,0:00,10422.70035,,
A2,2018/8/18,0:00,10431.2544,,
A2,2018/8/19,0:00,10439.82641,,
A2,2018/8/20,0:00,10448.40541,,
A2,2018/8/21,0:00,10456.94278,,
A2,2018/8/22,0:00,10465.50621,,
A2,2018/8/23,0:00,10474.07036,,
A2,2018/8/24,0:00,10482.64748,,
A2,2018/8/25,0:00,10491.22409,,
A2,2018/8/26,0:00,10499.78648,,
A2,2018/8/27,0:00,10508.31556,,
A2,2018/8/28,0:00,10516.88532,,
A2,2018/8/29,0:00,10525.46408,,
A2,2018/8/30,0:00,10534.00996,,
A2,2018/8/31,0:00,10542.55195,,
A2,2018/9/1,0:00,10551.09099,,
A2,2018/9/2,0:00,10559.6496,,
A2,2018/9/3,0:00,10568.21552,,
A2,2018/9/4,0:00,10576.7624,,
A2,2018/9/5,0:00,10585.34149,,
A2,2018/9/6,0:00,10593.92072,,
A2,2018/9/7,0:00,10602.48837,,
A2,2018/9/8,0:00,10611.01831,,
A2,2018/9/9,0:00,10619.54585,,
A2,2018/9/10,0:00,10628.11238,,
A2,2018/9/11,0:00,10636.66146,,
A2,2018/9/12,0:00,10645.19265,,
A2,2018/9/13,0:00,10653.72511,,
A2,2018/9/14,0:00,10662.25962,,
A2,2018/9/15,0:00,10670.81436,,
A2,2018/9/16,0:00,10679.36746,,
A2,2018/9/17,0:00,10687.90964,,
A2,2018/9/18,0:00,10696.43514,,
A2,2018/9/19,0:00,10704.99045,,
A2,2018/9/20,0:00,10713.55338,,
A2,2018/9/21,0:00,10722.08775,,
A2,2018/9/22,0:00,10730.61537,,
A2,2018/9/23,0:00,10739.14905,,
A2,2018/9/24,0:00,10747.68879,,
A2,2018/9/25,0:00,10756.26113,,
A2,2018/9/26,0:00,10764.83022,,
A2,2018/9/27,0:00,10773.38354,,
A2,2018/9/28,0:00,10781.91604,,
A2,2018/9/29,0:00,10790.48148,,
A2,2018/9/30,0:00,10799.05558,,
A3,2018/8/1,0:00,1682.252629,,
A3,2018/8/2,0:00,1682.625258,,
A3,2018/8/3,0:00,1682.987351,,
A3,2018/8/4,0:00,1683.345841,,
A3,2018/8/5,0:00,1683.705479,,
A3,2018/8/6,0:00,1684.067462,,
A3,2018/8/7,0:00,1684.428899,,
A3,2018/8/8,0:00,1684.786911,,
A3,2018/8/9,0:00,1685.151811,,
A3,2018/8/10,0:00,1685.523795,,
A3,2018/8/11,0:00,1685.884584,,
A3,2018/8/12,0:00,1686.243145,,
A3,2018/8/13,0:00,1686.613139,,
A3,2018/8/14,0:00,1686.975891,,
A3,2018/8/15,0:00,1687.338533,,
A3,2018/8/16,0:00,1687.704118,,
A3,2018/8/17,0:00,1688.066939,,
A3,2018/8/18,0:00,1688.432837,,
A3,2018/8/19,0:00,1688.793209,,
A3,2018/8/20,0:00,1689.150011,,
A3,2018/8/21,0:00,1689.521165,,
A3,2018/8/22,0:00,1689.884985,,
A3,2018/8/23,0:00,1690.247645,,
A3,2018/8/24,0:00,1690.606044,,
A3,2018/8/25,0:00,1690.963562,,
A3,2018/8/26,0:00,1691.326665,,
A3,2018/8/27,0:00,1691.700211,,
A3,2018/8/28,0:00,1692.062113,,
A3,2018/8/29,0:00,1692.419921,,
A3,2018/8/30,0:00,1692.787922,,
A3,2018/8/31,0:00,1693.156273,,
A3,2018/9/1,0:00,1693.524971,,
A3,2018/9/2,0:00,1693.890057,,
A3,2018/9/3,0:00,1694.252498,,
A3,2018/9/4,0:00,1694.621652,,
A3,2018/9/5,0:00,1694.980174,,
A3,2018/9/6,0:00,1695.33663,,
A3,2018/9/7,0:00,1695.697048,,
A3,2018/9/8,0:00,1696.071475,,
A3,2018/9/9,0:00,1696.448368,,
A3,2018/9/10,0:00,1696.812905,,
A3,2018/9/11,0:00,1697.182214,,
A3,2018/9/12,0:00,1697.556296,,
A3,2018/9/13,0:00,1697.930382,,
A3,2018/9/14,0:00,1698.302309,,
A3,2018/9/15,0:00,1698.668344,,
A3,2018/9/16,0:00,1699.035579,,
A3,2018/9/17,0:00,1699.407086,,
A3,2018/9/18,0:00,1699.783083,,
A3,2018/9/19,0:00,1700.150276,,
A3,2018/9/20,0:00,1700.515473,,
A3,2018/9/21,0:00,1700.888653,,
A3,2018/9/22,0:00,1701.263773,,
A3,2018/9/23,0:00,1701.637047,,
A3,2018/9/24,0:00,1702.008474,,
A3,2018/9/25,0:00,1702.370036,,
A3,2018/9/26,0:00,1702.731406,,
A3,2018/9/27,0:00,1703.096689,,
A3,2018/9/28,0:00,1703.47043,,
A3,2018/9/29,0:00,1703.834178,,
A3,2018/9/30,0:00,1704.196179,,
A4,2018/8/1,0:00,6868.574891,,
A4,2018/8/2,0:00,6873.689782,,
A4,2018/8/3,0:00,6878.803464,,
A4,2018/8/4,0:00,6883.916715,,
A4,2018/8/5,0:00,6889.030048,,
A4,2018/8/6,0:00,6894.143585,,
A4,2018/8/7,0:00,6899.257019,,
A4,2018/8/8,0:00,6904.37015,,
A4,2018/8/9,0:00,6909.484163,,
A4,2018/8/10,0:00,6914.598862,,
A4,2018/8/11,0:00,6919.712154,,
A4,2018/8/12,0:00,6924.825293,,
A4,2018/8/13,0:00,6929.939928,,
A4,2018/8/14,0:00,6935.053518,,
A4,2018/8/15,0:00,6940.167135,,
A4,2018/8/16,0:00,6945.281122,,
A4,2018/8/17,0:00,6950.394637,,
A4,2018/8/18,0:00,6955.508677,,
A4,2018/8/19,0:00,6960.621918,,
A4,2018/8/20,0:00,6965.73487,,
A4,2018/8/21,0:00,6970.849542,,
A4,2018/8/22,0:00,6975.963137,,
A4,2018/8/23,0:00,6981.07677,,
A4,2018/8/24,0:00,6986.189943,,
A4,2018/8/25,0:00,6991.303037,,
A4,2018/8/26,0:00,6996.416658,,
A4,2018/8/27,0:00,7001.531736,,
A4,2018/8/28,0:00,7006.645147,,
A4,2018/8/29,0:00,7011.758165,,
A4,2018/8/30,0:00,7016.872495,,
A4,2018/8/31,0:00,7021.987047,,
A4,2018/9/1,0:00,7027.101768,,
A4,2018/9/2,0:00,7032.215677,,
A4,2018/9/3,0:00,7037.329191,,
A4,2018/9/4,0:00,7042.443511,,
A4,2018/9/5,0:00,7047.556678,,
A4,2018/9/6,0:00,7052.669641,,
A4,2018/9/7,0:00,7057.78308,,
A4,2018/9/8,0:00,7062.898087,,
A4,2018/9/9,0:00,7068.01363,,
A4,2018/9/10,0:00,7073.127606,,
A4,2018/9/11,0:00,7078.242072,,
A4,2018/9/12,0:00,7083.357102,,
A4,2018/9/13,0:00,7088.472098,,
A4,2018/9/14,0:00,7093.58687,,
A4,2018/9/15,0:00,7098.70086,,
A4,2018/9/16,0:00,7103.81498,,
A4,2018/9/17,0:00,7108.929557,,
