户号,日期,时间,预测值
A1,2018/8/1,0:00,9910.053528
A1,2018/8/2,0:00,9921.129176
A1,2018/8/3,0:00,9930.833465
A1,2018/8/4,0:00,9941.145016
A1,2018/8/5,0:00,9949.162978
A1,2018/8/6,0:00,9961.371595
A1,2018/8/7,0:00,9968.983321
A1,2018/8/8,0:00,9976.754803
A1,2018/8/9,0:00,9986.401854
A1,2018/8/10,0:00,9997.371526
A1,2018/8/11,0:00,10011.56161
A1,2018/8/12,0:00,10025.00842
A1,2018/8/13,0:00,10038.99995
A1,2018/8/14,0:00,10052.20012
A1,2018/8/15,0:00,10064.44212
A1,2018/8/16,0:00,10076.95144
A1,2018/8/17,0:00,10088.89777
A1,2018/8/18,0:00,10103.54049
A1,2018/8/19,0:00,10114.44013
A1,2018/8/20,0:00,10127.50176
A1,2018/8/21,0:00,10138.89827
A1,2018/8/22,0:00,10147.05603
A1,2018/8/23,0:00,10156.7593
A1,2018/8/24,0:00,10164.52163
A1,2018/8/25,0:00,10174.18004
A1,2018/8/26,0:00,10184.97686
A1,2018/8/27,0:00,10195.59921
A1,2018/8/28,0:00,10208.04418
A1,2018/8/29,0:00,10220.85808
A1,2018/8/30,0:00,10233.49169
A1,2018/8/31,0:00,10245.96736
A1,2018/9/1,0:00,10257.97057
A1,2018/9/2,0:00,10269.83848
A1,2018/9/3,0:00,10280.36831
A1,2018/9/4,0:00,10291.28779
A1,2018/9/5,0:00,10299.72656
A1,2018/9/6,0:00,10312.6029
A1,2018/9/7,0:00,10320.49345
A1,2018/9/8,0:00,10328.62183
A1,2018/9/9,0:00,10339.02329
A1,2018/9/10,0:00,10350.78834
A1,2018/9/11,0:00,10365.8871
A1,2018/9/12,0:00,10380.05986
A1,2018/9/13,0:00,10394.97768
A1,2018/9/14,0:00,10409.05814
A1,2018/9/15,0:00,10422.18552
A1,2018/9/16,0:00,10435.60807
A1,2018/9/17,0:00,10448.57608
A1,2018/9/18,0:00,10464.09879
A1,2018/9/19,0:00,10475.8152
A1,2018/9/20,0:00,10490.01447
A1,2018/9/21,0:00,10502.32722
A1,2018/9/22,0:00,10510.85556
A1,2018/9/23,0:00,10521.07545
A1,2018/9/24,0:00,10529.03362
A1,2018/9/25,0:00,10539.06762
A1,2018/9/26,0:00,10550.25461
