户号,日期,时间,预测值
A1,2018/8/1,0:00:00,9905.699864
A1,2018/8/2,0:00:00,9916.242245
A1,2018/8/3,0:00:00,9926.530352
A1,2018/8/4,0:00:00,9936.617354
A1,2018/8/5,0:00:00,9946.530816
A1,2018/8/6,0:00:00,9956.287786
A1,2018/8/7,0:00:00,9965.900633
A1,2018/8/8,0:00:00,9975.377163
A1,2018/8/9,0:00:00,9984.722981
A1,2018/8/10,0:00:00,9993.942884
A1,2018/8/11,0:00:00,10003.04078
A1,2018/8/12,0:00:00,10012.02131
A1,2018/8/13,0:00:00,10020.88769
A1,2018/8/14,0:00:00,10029.64328
A1,2018/8/15,0:00:00,10038.29169
A1,2018/8/16,0:00:00,10046.83633
A1,2018/8/17,0:00:00,10055.28057
A1,2018/8/18,0:00:00,10063.62774
A1,2018/8/19,0:00:00,10071.88163
A1,2018/8/20,0:00:00,10080.04534
A1,2018/8/21,0:00:00,10088.12158
A1,2018/8/22,0:00:00,10096.11497
A1,2018/8/23,0:00:00,10104.02789
A1,2018/8/24,0:00:00,10111.86392
A1,2018/8/25,0:00:00,10119.62673
A1,2018/8/26,0:00:00,10127.32007
A1,2018/8/27,0:00:00,10134.94718
A1,2018/8/28,0:00:00,10142.51109
A1,2018/8/29,0:00:00,10150.01447
A1,2018/8/30,0:00:00,10157.46036
A1,2018/8/31,0:00:00,10164.85144
A1,2018/9/1,0:00:00,10172.19064
A1,2018/9/2,0:00:00,10179.4809
A1,2018/9/3,0:00:00,10186.72479
A1,2018/9/4,0:00:00,10193.92487
A1,2018/9/5,0:00:00,10201.08323
A1,2018/9/6,0:00:00,10208.20254
A1,2018/9/7,0:00:00,10215.28511
A1,2018/9/8,0:00:00,10222.33332
A1,2018/9/9,0:00:00,10229.34931
A1,2018/9/10,0:00:00,10236.33529
A1,2018/9/11,0:00:00,10243.29293
A1,2018/9/12,0:00:00,10250.22419
A1,2018/9/13,0:00:00,10257.13084
A1,2018/9/14,0:00:00,10264.01481
A1,2018/9/15,0:00:00,10270.87773
A1,2018/9/16,0:00:00,10277.72114
A1,2018/9/17,0:00:00,10284.54637
A1,2018/9/18,0:00:00,10291.35493
A1,2018/9/19,0:00:00,10298.1483
A1,2018/9/20,0:00:00,10304.92772
A1,2018/9/21,0:00:00,10311.69415
A1,2018/9/22,0:00:00,10318.4483
A1,2018/9/23,0:00:00,10325.19189
A1,2018/9/24,0:00:00,10331.92557
A1,2018/9/25,0:00:00,10338.65072
A1,2018/9/26,0:00:00,10345.36824
A1,2018/9/27,0:00:00,10352.0792
A1,2018/9/28,0:00:00,10358.78436
A1,2018/9/29,0:00:00,10365.48447
A1,2018/9/30,0:00:00,10372.1803
A2,2018/8/1,0:00:00,10279.652
A2,2018/8/2,0:00:00,10291.59319
A2,2018/8/3,0:00:00,10302.95445
A2,2018/8/4,0:00:00,10313.85659
A2,2018/8/5,0:00:00,10324.39287
A2,2018/8/6,0:00:00,10334.62984
A2,2018/8/7,0:00:00,10344.61487
A2,2018/8/8,0:00:00,10354.38487
A2,2018/8/9,0:00:00,10363.96914
A2,2018/8/10,0:00:00,10373.39156
A2,2018/8/11,0:00:00,10382.67209
A2,2018/8/12,0:00:00,10391.82676
A2,2018/8/13,0:00:00,10400.87078
A2,2018/8/14,0:00:00,10409.81734
A2,2018/8/15,0:00:00,10418.67781
A2,2018/8/16,0:00:00,10427.46275
A2,2018/8/17,0:00:00,10436.18168
A2,2018/8/18,0:00:00,10444.84322
A2,2018/8/19,0:00:00,10453.4548
A2,2018/8/20,0:00:00,10462.0238
A2,2018/8/21,0:00:00,10470.5574
A2,2018/8/22,0:00:00,10479.06008
A2,2018/8/23,0:00:00,10487.53815
A2,2018/8/24,0:00:00,10495.99623
A2,2018/8/25,0:00:00,10504.43815
A2,2018/8/26,0:00:00,10512.86699
