户号,日期,时间,预测量
A1,2018/8/1,0:00,38174103.94
A1,2018/8/2,0:00,61014946.81
A1,2018/8/3,0:00,51743734.82
A1,2018/8/4,0:00,58325190.04
A1,2018/8/5,0:00,27274706.1
A1,2018/8/6,0:00,51118803.99
A1,2018/8/7,0:00,55867077.97
A1,2018/8/8,0:00,70041457.44
A1,2018/8/9,0:00,73481348.84
A1,2018/8/10,0:00,103090062.8
A1,2018/8/11,0:00,65895825.91
A1,2018/8/12,0:00,85261763.62
A1,2018/8/13,0:00,80299793.18
A1,2018/8/14,0:00,102554598.9
A1,2018/8/15,0:00,102217546.6
A1,2018/8/16,0:00,96919437.81
A1,2018/8/17,0:00,92316208.18
A1,2018/8/18,0:00,92191352.77
A1,2018/8/19,0:00,102357842.7
A1,2018/8/20,0:00,101299010.2
A1,2018/8/21,0:00,67110801.42
A1,2018/8/22,0:00,32083278.9
A1,2018/8/23,0:00,78369749.5
A1,2018/8/24,0:00,47528270.31
A1,2018/8/25,0:00,87919680.95
A1,2018/8/26,0:00,75633856.89
A1,2018/8/27,0:00,99373515.42
A1,2018/8/28,0:00,90257086.34
A1,2018/8/29,0:00,81595988.72
A1,2018/8/30,0:00,83001687.71
A1,2018/8/31,0:00,93584263.09
A1,2018/9/1,0:00,5166104.8883279 
A1,2018/9/2,0:00,8257133.5938172 
A1,2018/9/3,0:00,7002473.7936408 
A1,2018/9/4,0:00,7893147.7237811 
A1,2018/9/5,0:00,3691083.8965410 
A1,2018/9/6,0:00,6917887.3751094 
A1,2018/9/7,0:00,7560481.4989901 
A1,2018/9/8,0:00,9478683.9774684 
A1,2018/9/9,0:00,9944223.9441832 
A1,2018/9/10,0:00,13951178.5606732 
A1,2018/9/11,0:00,8917693.0509133 
A1,2018/9/12,0:00,11538478.7902581 
A1,2018/9/13,0:00,10866978.6530687 
A1,2018/9/14,0:00,13878727.7960421 
A1,2018/9/15,0:00,13833085.3712014 
A1,2018/9/16,0:00,13116111.5229488 
A1,2018/9/17,0:00,12493180.4521781 
A1,2018/9/18,0:00,12476263.1729932 
A1,2018/9/19,0:00,13852097.6968109 
A1,2018/9/20,0:00,13708817.7910455 
A1,2018/9/21,0:00,9082124.9748230 
A1,2018/9/22,0:00,4341816.4145710 
A1,2018/9/23,0:00,10605780.0120322 
A1,2018/9/24,0:00,6432007.0976252 
A1,2018/9/25,0:00,11898178.0951019 
A1,2018/9/26,0:00,10235523.1366934 
A1,2018/9/27,0:00,13448219.3620230 
A1,2018/9/28,0:00,12214507.7700535 
A1,2018/9/29,0:00,11042388.6767777 
A1,2018/9/30,0:00,11232626.2010075 
A2,2018/8/1,0:00,31338101.41
A2,2018/8/2,0:00,48829114.32
A2,2018/8/3,0:00,43298088.83
A2,2018/8/4,0:00,37958677.86
A2,2018/8/5,0:00,24741867.71
A2,2018/8/6,0:00,43340188.56
A2,2018/8/7,0:00,37139908.37
A2,2018/8/8,0:00,51821962.38
A2,2018/8/9,0:00,56435743.01
A2,2018/8/10,0:00,78501484.97
A2,2018/8/11,0:00,50979434.9
A2,2018/8/12,0:00,60088171.75
A2,2018/8/13,0:00,70370519.08
A2,2018/8/14,0:00,78952549.09
A2,2018/8/15,0:00,79104618.18
A2,2018/8/16,0:00,76085668.1
A2,2018/8/17,0:00,63108414.3
A2,2018/8/18,0:00,78629215.64
A2,2018/8/19,0:00,77799970.53
A2,2018/8/20,0:00,78976349.02
