户号,日期,时间,预测量
A1,2018/08/01,0:00:00,9912.06
A1,2018/08/02,0:00:00,9925.62
A1,2018/08/03,0:00:00,9934.71
A1,2018/08/04,0:00:00,9936.39
A1,2018/08/05,0:00:00,9949.28
A1,2018/08/06,0:00:00,9961.8
A1,2018/08/07,0:00:00,9973.23
A1,2018/08/08,0:00:00,9985.92
A1,2018/08/09,0:00:00,9999.11
A1,2018/08/10,0:00:00,10011.45
A1,2018/08/11,0:00:00,10024.92
A1,2018/08/12,0:00:00,10035.92
A1,2018/08/13,0:00:00,10040.6
A1,2018/08/14,0:00:00,10047.03
A1,2018/08/15,0:00:00,10058.29
A1,2018/08/16,0:00:00,10066.87
A1,2018/08/17,0:00:00,10075.36
A1,2018/08/18,0:00:00,10078.06
A1,2018/08/19,0:00:00,10091.35
A1,2018/08/20,0:00:00,10102.28
A1,2018/08/21,0:00:00,10111.83
A1,2018/08/22,0:00:00,10120.39
A1,2018/08/23,0:00:00,10130.91
A1,2018/08/24,0:00:00,10144.55
A1,2018/08/25,0:00:00,10158.9
A1,2018/08/26,0:00:00,10160.69
A1,2018/08/27,0:00:00,10166.51
A1,2018/08/28,0:00:00,10178.47
A1,2018/08/29,0:00:00,10190.82
A1,2018/08/30,0:00:00,10203.18
A1,2018/08/31,0:00:00,10215.93
A1,2018/09/01,0:00:00,10227.48
A1,2018/09/02,0:00:00,10236.79
A1,2018/09/03,0:00:00,10247.01
A1,2018/09/04,0:00:00,10255.68
A1,2018/09/05,0:00:00,10267.98
A1,2018/09/06,0:00:00,10280.5
A1,2018/09/07,0:00:00,10290.87
A1,2018/09/08,0:00:00,10292.87
A1,2018/09/09,0:00:00,10296.17
A1,2018/09/10,0:00:00,10308.53
A1,2018/09/11,0:00:00,10315.65
A1,2018/09/12,0:00:00,10317.8
A1,2018/09/13,0:00:00,10322.43
A1,2018/09/14,0:00:00,10327.22
A1,2018/09/15,0:00:00,10336.06
A1,2018/09/16,0:00:00,10346.38
A1,2018/09/17,0:00:00,10353.65
A1,2018/09/18,0:00:00,10356.52
